key_index,variant,rounds,difference,samples,distinct_output_differences,max_multiplicity,collision_pairs,max_observed_probability,mean_output_difference_weight
1,rotor,16,single_bit_19,10000,10000,1,0,0.0001,64.0772
1,round_only,16,single_bit_19,10000,10000,1,0,0.0001,64.0258
1,position_only,16,single_bit_19,10000,10000,1,0,0.0001,63.9995
1,static,16,single_bit_44,10000,10000,1,0,0.0001,64.0656
1,rotor,16,single_bit_44,10000,10000,1,0,0.0001,64.0206
1,round_only,16,single_bit_44,10000,10000,1,0,0.0001,63.9669
1,position_only,16,single_bit_44,10000,10000,1,0,0.0001,64.0047
1,static,16,single_bit_68,10000,10000,1,0,0.0001,63.9571
1,rotor,16,single_bit_68,10000,10000,1,0,0.0001,63.9886
1,round_only,16,single_bit_68,10000,10000,1,0,0.0001,64.0329
1,position_only,16,single_bit_68,10000,10000,1,0,0.0001,63.9248
1,static,16,single_bit_93,10000,10000,1,0,0.0001,64.0689
1,rotor,16,single_bit_93,10000,10000,1,0,0.0001,63.8981
1,round_only,16,single_bit_93,10000,10000,1,0,0.0001,64.0449
1,position_only,16,single_bit_93,10000,10000,1,0,0.0001,63.9011
1,static,16,single_bit_127,10000,10000,1,0,0.0001,63.9433
1,rotor,16,single_bit_127,10000,10000,1,0,0.0001,63.9599
1,round_only,16,single_bit_127,10000,10000,1,0,0.0001,63.9594
1,position_only,16,single_bit_127,10000,10000,1,0,0.0001,63.9347
1,static,16,full_byte_0,10000,10000,1,0,0.0001,64.0752
1,rotor,16,full_byte_0,10000,10000,1,0,0.0001,63.9652
1,round_only,16,full_byte_0,10000,10000,1,0,0.0001,63.9732
1,position_only,16,full_byte_0,10000,10000,1,0,0.0001,63.95
1,static,16,full_byte_5,10000,10000,1,0,0.0001,64.0669
1,rotor,16,full_byte_5,10000,10000,1,0,0.0001,64.0949
1,round_only,16,full_byte_5,10000,10000,1,0,0.0001,63.9843
1,position_only,16,full_byte_5,10000,10000,1,0,0.0001,64.0485
1,static,16,full_byte_10,10000,10000,1,0,0.0001,64.0066
1,rotor,16,full_byte_10,10000,10000,1,0,0.0001,63.9352
1,round_only,16,full_byte_10,10000,10000,1,0,0.0001,63.9875
1,position_only,16,full_byte_10,10000,10000,1,0,0.0001,63.9849
1,static,16,full_byte_15,10000,10000,1,0,0.0001,64.0375
1,rotor,16,full_byte_15,10000,10000,1,0,0.0001,64.0076
1,round_only,16,full_byte_15,10000,10000,1,0,0.0001,64.1082
1,position_only,16,full_byte_15,10000,10000,1,0,0.0001,63.9633
1,static,16,two_byte_weight2,10000,10000,1,0,0.0001,64.0782
1,rotor,16,two_byte_weight2,10000,10000,1,0,0.0001,63.9635
1,round_only,16,two_byte_weight2,10000,10000,1,0,0.0001,63.8934
1,position_only,16,two_byte_weight2,10000,10000,1,0,0.0001,64.0077
1,static,16,four_byte_weight4,10000,10000,1,0,0.0001,63.9881
1,rotor,16,four_byte_weight4,10000,10000,1,0,0.0001,63.9593
1,round_only,16,four_byte_weight4,10000,10000,1,0,0.0001,63.9509
1,position_only,16,four_byte_weight4,10000,10000,1,0,0.0001,63.9355
