context_index,variant,rounds,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,max_single_trail_probability,max_single_trail_log2_probability,class_minus_single_gap_bits,finite_4_16_decay_bits_per_round
151,rotor,12,2.6830046226773051e-18,-58.370856167683,97,1.6543612251060553e-24,-79.000000000000,20.629143832317,4.999390874486
151,rotor,16,2.6704677848316815e-24,-78.309181796903,97,2.4651903288156619e-32,-105.000000000000,26.690818203097,4.999390874486
151,round_only,4,2.0861625671386719e-06,-18.870716983055,15,7.4505805969238281e-09,-27.000000000000,8.129283016945,4.984327794222
151,round_only,8,2.0321244686982709e-12,-38.840148367998,74,1.1102230246251565e-16,-53.000000000000,14.159851632002,4.984327794222
151,round_only,12,2.0829186924824685e-18,-58.736099183640,74,4.1359030627651384e-25,-81.000000000000,22.263900816360,4.984327794222
151,round_only,16,2.0417935171741277e-24,-78.696437300802,95,3.0814879110195774e-33,-108.000000000000,29.303562699198,4.984327794222
152,static,4,3.2186508178710938e-06,-18.245112497837,100,1.4901161193847656e-08,-26.000000000000,7.754887502163,4.997072800610
152,static,8,3.1441238501628277e-12,-38.210479090741,100,2.2204460492503131e-16,-52.000000000000,13.789520909259,4.997072800610
152,static,12,3.0016539816783381e-18,-58.208948029378,100,1.6543612251060553e-24,-79.000000000000,20.791051970622,4.997072800610
152,static,16,2.8672759359912741e-24,-78.206593526422,100,2.4651903288156619e-32,-105.000000000000,26.793406473578,4.997072800610
152,position_only,4,2.5294721126556396e-06,-18.592732235755,86,1.4901161193847656e-08,-26.000000000000,7.407267764245,4.963508612116
152,position_only,8,2.8102242755068119e-12,-38.372451866476,86,5.5511151231257827e-17,-54.000000000000,15.627548133524,4.963508612116
152,position_only,12,2.8538047529663756e-18,-58.281819073776,86,4.1359030627651384e-25,-81.000000000000,22.718180926224,4.963508612116
152,position_only,16,3.0102492528538775e-24,-78.136391328196,86,3.0814879110195774e-33,-108.000000000000,29.863608671804,4.963508612116
152,rotor,4,1.9855797290802002e-06,-18.942008277241,72,7.4505805969238281e-09,-27.000000000000,8.057991722759,5.016097366739
152,rotor,8,2.0149021340287732e-12,-38.852427371449,72,5.5511151231257827e-17,-54.000000000000,15.147572628551,5.016097366739
152,rotor,12,1.6841273194487761e-18,-59.042704498194,72,8.2718061255302767e-25,-80.000000000000,20.957295501806,5.016097366739
152,rotor,16,1.5508510733094456e-24,-79.093214124845,72,3.0814879110195774e-33,-108.000000000000,28.906785875155,5.016097366739
152,round_only,4,1.9446015357971191e-06,-18.972094003430,34,1.4901161193847656e-08,-26.000000000000,7.027905996570,4.988846922850
152,round_only,8,2.1506130210013907e-12,-38.758389187531,13,2.2204460492503131e-16,-52.000000000000,13.241610812469,4.988846922850
152,round_only,12,2.0012486690632704e-18,-58.793805264700,13,8.2718061255302767e-25,-80.000000000000,21.206194735300,4.988846922850
152,round_only,16,1.8851683015601108e-24,-78.811580949035,13,1.2325951644078309e-32,-106.000000000000,27.188419050965,4.988846922850
153,static,4,2.339482307434082e-06,-18.705379251108,0,7.4505805969238281e-09,-27.000000000000,8.294620748892,4.994530725670
153,static,8,2.4568680423442402e-12,-38.566316765591,0,5.5511151231257827e-17,-54.000000000000,15.433683234409,4.994530725670
153,static,12,2.2806862032104748e-18,-58.605237746292,0,4.1359030627651384e-25,-81.000000000000,22.394762253708,4.994530725670
153,static,16,2.1536627403379026e-24,-78.619481933142,0,3.0814879110195774e-33,-108.000000000000,29.380518066858,4.994530725670
153,position_only,4,2.5257468223571777e-06,-18.594858536864,57,1.4901161193847656e-08,-26.000000000000,7.405141463136,5.002020844313
153,position_only,8,2.3468449406038872e-12,-38.632414614560,57,1.1102230246251565e-16,-53.000000000000,14.367585385440,5.002020844313
153,position_only,12,2.2017052922638984e-18,-58.656084337092,57,1.6543612251060553e-24,-79.000000000000,20.343915662908,5.002020844313
153,position_only,16,2.1619918087980221e-24,-78.613913220195,57,1.2325951644078309e-32,-106.000000000000,27.386086779805,5.002020844313
153,rotor,4,2.4661421775817871e-06,-18.629312593193,57,1.4901161193847656e-08,-26.000000000000,7.370687406807,4.960913739564
153,rotor,8,2.6349478154941153e-12,-38.465362748730,67,2.2204460492503131e-16,-52.000000000000,13.534637251270,4.960913739564
153,rotor,12,2.7235120708643332e-18,-58.349237446618,67,1.6543612251060553e-24,-79.000000000000,20.650762553382,4.960913739564
153,rotor,16,2.9884623956918004e-24,-78.146870888085,67,2.4651903288156619e-32,-105.000000000000,26.853129111915,4.960913739564
153,round_only,4,2.1569430828094482e-06,-18.822580462011,42,1.4901161193847656e-08,-26.000000000000,7.177419537989,4.953853748355
153,round_only,8,2.3760854395149522e-12,-38.614550425006,42,1.1102230246251565e-16,-53.000000000000,14.385449574994,4.953853748355
153,round_only,12,2.5873328613306337e-18,-58.423240038759,42,8.2718061255302767e-25,-80.000000000000,21.576759961241,4.953853748355
153,round_only,16,2.7419590814800683e-24,-78.271067235496,42,1.2325951644078309e-32,-106.000000000000,27.728932764504,4.953853748355
154,static,4,2.0973384380340576e-06,-18.863008887920,2,1.4901161193847656e-08,-26.000000000000,7.136991112080,4.997354741698
154,static,8,2.2903762220138901e-12,-38.667552540740,11,1.1102230246251565e-16,-53.000000000000,14.332447459260,4.997354741698
154,static,12,1.9992335536935147e-18,-58.795258688079,42,1.6543612251060553e-24,-79.000000000000,20.204741311921,4.997354741698
154,static,16,1.9199972117567112e-24,-78.785170061448,42,6.1629758220391547e-33,-107.000000000000,28.214829938552,4.997354741698
154,position_only,4,2.6151537895202637e-06,-18.544672779695,101,2.9802322387695312e-08,-25.000000000000,6.455327220305,4.984457945120
154,position_only,8,2.6890989435202073e-12,-38.436014299503,101,2.2204460492503131e-16,-52.000000000000,13.563985700497,4.984457945120
154,position_only,12,2.5481708224099231e-18,-58.445243712803,101,1.6543612251060553e-24,-79.000000000000,20.554756287197,4.984457945120
154,position_only,16,2.6242503670803173e-24,-78.334368910193,101,2.4651903288156619e-32,-105.000000000000,26.665631089807,4.984457945120
154,rotor,4,2.1085143089294434e-06,-18.855341757168,121,7.4505805969238281e-09,-27.000000000000,8.144658242832,4.989379727128
154,rotor,8,2.1607438061010953e-12,-38.751609112993,9,5.5511151231257827e-17,-54.000000000000,15.248390887007,4.989379727128
154,rotor,12,2.1007657345837595e-18,-58.723790418117,121,8.2718061255302767e-25,-80.000000000000,21.276209581883,4.989379727128
154,rotor,16,2.0045289592585006e-24,-78.723011017166,9,3.0814879110195774e-33,-108.000000000000,29.276988982834,4.989379727128
154,round_only,4,2.3618340492248535e-06,-18.691660969861,2,1.4901161193847656e-08,-26.000000000000,7.308339030139,4.973098299490
154,round_only,8,2.4295704337262691e-12,-38.582435881573,42,1.1102230246251565e-16,-53.000000000000,14.417564118427,4.973098299490
154,round_only,12,2.4752994674676633e-18,-58.487102631631,42,8.2718061255302767e-25,-80.000000000000,21.512897368369,4.973098299490
154,round_only,16,2.5695663365374024e-24,-78.364749379714,42,6.1629758220391547e-33,-107.000000000000,28.635250620286,4.973098299490
155,static,4,2.3059546947479248e-06,-18.726204400786,0,1.4901161193847656e-08,-26.000000000000,7.273795599214,5.002291326901
155,static,8,2.4270863097086703e-12,-38.583911725514,0,1.1102230246251565e-16,-53.000000000000,14.416088274486,5.002291326901
155,static,12,2.169555470190953e-18,-58.677306235187,0,3.3087224502121107e-24,-78.000000000000,19.322693764813,5.002291326901
155,static,16,2.0009017858681651e-24,-78.725623922906,0,1.2325951644078309e-32,-106.000000000000,27.274376077094,5.002291326901
155,position_only,4,2.3096799850463867e-06,-18.723875594726,57,1.4901161193847656e-08,-26.000000000000,7.276124405274,4.984292397260
155,position_only,8,2.5174029527619268e-12,-38.531200976014,57,1.1102230246251565e-16,-53.000000000000,14.468799023986,4.984292397260
155,position_only,12,2.3491986782160982e-18,-58.562536976761,57,1.6543612251060553e-24,-79.000000000000,20.437463023239,4.984292397260
155,position_only,16,2.3331494454302958e-24,-78.503995557940,57,6.1629758220391547e-33,-107.000000000000,28.496004442060,4.984292397260
155,rotor,4,2.2388994693756104e-06,-18.768778819289,101,7.4505805969238281e-09,-27.000000000000,8.231221180711,4.958457197447
155,rotor,8,2.273181642920008e-12,-38.678424168584,68,1.1102230246251565e-16,-53.000000000000,14.321575831416,4.958457197447
155,rotor,12,2.4234133227743558e-18,-58.517665224824,68,8.2718061255302767e-25,-80.000000000000,21.482334775176,4.958457197447
155,rotor,16,2.7469167304168172e-24,-78.268461099841,68,3.0814879110195774e-33,-108.000000000000,29.731538900159,4.958457197447
155,round_only,4,2.1643936634063721e-06,-18.817605646595,38,7.4505805969238281e-09,-27.000000000000,8.182394353405,4.951718279101
155,round_only,8,2.3674673332862994e-12,-38.619792619367,38,1.1102230246251565e-16,-53.000000000000,14.380207380633,4.951718279101
155,round_only,12,2.6220503554225202e-18,-58.404010315769,38,4.1359030627651384e-25,-81.000000000000,22.595989684231,4.951718279101
155,round_only,16,2.7904493787145463e-24,-78.245776802469,38,3.0814879110195774e-33,-108.000000000000,29.754223197531,4.951718279101
156,static,4,3.0100345611572266e-06,-18.341788517248,58,1.4901161193847656e-08,-26.000000000000,7.658211482752,4.974281617420
156,static,8,3.08740533139229e-12,-38.236742238396,58,1.1102230246251565e-16,-53.000000000000,14.763257761604,4.974281617420
156,static,12,3.0922410121008578e-18,-58.166052939353,58,1.6543612251060553e-24,-79.000000000000,20.833947060647,4.974281617420
156,static,16,3.2576563636180517e-24,-78.022439849201,58,1.2325951644078309e-32,-106.000000000000,27.977560150799,4.974281617420
156,position_only,4,1.7546117305755615e-06,-19.120416750387,9,1.4901161193847656e-08,-26.000000000000,6.879583249613,5.042211941507
156,position_only,8,1.6168039129738077e-12,-39.169992420217,17,1.1102230246251565e-16,-53.000000000000,13.830007579783,5.042211941507
156,position_only,12,1.2863899813106293e-18,-59.431377632327,9,8.2718061255302767e-25,-80.000000000000,20.568622367673,5.042211941507
156,position_only,16,1.0944151025685975e-24,-79.596114233106,9,1.2325951644078309e-32,-106.000000000000,26.403885766894,5.042211941507
156,rotor,4,2.212822437286377e-06,-18.785680879199,17,1.4901161193847656e-08,-26.000000000000,7.214319120801,4.973191318831
156,rotor,8,2.5362628663927467e-12,-38.520432859895,108,1.1102230246251565e-16,-53.000000000000,14.479567140105,4.973191318831
156,rotor,12,2.4850475841914476e-18,-58.481432230905,108,8.2718061255302767e-25,-80.000000000000,21.518567769095,4.973191318831
156,rotor,16,2.4368919267783288e-24,-78.441232006604,108,6.1629758220391547e-33,-107.000000000000,28.558767993396,4.973191318831
156,round_only,4,1.9557774066925049e-06,-18.963826387447,38,1.4901161193847656e-08,-26.000000000000,7.036173612553,4.967791405721
156,round_only,8,2.1321000520657662e-12,-38.770861998285,38,1.1102230246251565e-16,-53.000000000000,14.229138001715,4.967791405721
156,round_only,12,2.1398554468996599e-18,-58.697192366059,38,8.2718061255302767e-25,-80.000000000000,21.302807633941,4.967791405721
156,round_only,16,2.2459709528801353e-24,-78.558935007798,19,1.2325951644078309e-32,-106.000000000000,27.441064992202,4.967791405721
157,static,4,2.3692846298217773e-06,-18.687117044716,120,1.4901161193847656e-08,-26.000000000000,7.312882955284,4.995927094524
