context_index,variant,period_rounds,spectral_decay_bits_per_round,period_perron_factor,iterations
13,round_only,16,5.020276278517,6.6060226487599464e-25,12
14,static,16,4.913613353905,2.1561545840017473e-24,10
14,position_only,16,4.874555939652,3.3250573930727731e-24,10
14,rotor,16,4.889384035805,2.8208495159443641e-24,10
14,round_only,16,4.892913474751,2.712566828769002e-24,10
15,static,16,5.021436470099,6.5215678778541721e-25,10
15,position_only,16,5.050187216723,4.7410509745231242e-25,10
15,rotor,16,5.000562259022,8.2203865044222362e-25,12
15,round_only,16,5.004377698282,7.8798010218270015e-25,10
16,static,16,4.933953851775,1.7207203476523952e-24,9
16,position_only,16,5.002437927072,8.0511537459079325e-25,10
16,rotor,16,4.999908083741,8.2802425710873338e-25,10
16,round_only,16,4.988195929459,9.4287564049731494e-25,10
17,static,16,4.967456991108,1.1867058850256195e-24,10
17,position_only,16,4.896991418699,2.5926214593371639e-24,10
17,rotor,16,4.961926452182,1.2617718259434013e-24,10
17,round_only,16,4.948650124097,1.4619280318937843e-24,10
18,static,16,4.989545381907,9.2886971884333212e-25,9
18,position_only,16,4.944087257304,1.5378109534157024e-24,11
18,rotor,16,4.961855733985,1.2627618090170782e-24,10
18,round_only,16,4.964823664630,1.2218741029169012e-24,11
19,static,16,4.928043040596,1.8372979807032077e-24,12
19,position_only,16,4.984843721039,9.7858884369136089e-25,10
19,rotor,16,4.946464308009,1.4978003679054597e-24,10
19,round_only,16,4.953835493797,1.3802277808441019e-24,11
20,static,16,4.956255352052,1.3436791115314696e-24,12
20,position_only,16,4.955482127096,1.3552511618695908e-24,11
20,rotor,16,4.990268516725,9.2145014086888982e-25,9
20,round_only,16,4.996956520770,8.5557720163798701e-25,12
21,static,16,4.952835577107,1.3956189031822907e-24,10
21,position_only,16,5.026804772894,6.1446294241976604e-25,10
21,rotor,16,4.996438735116,8.6050442453498697e-25,11
21,round_only,16,4.995398896641,8.7048535480674928e-25,10
22,static,16,4.987206383065,9.5328014170160826e-25,9
22,position_only,16,4.997747339801,8.4810620279636567e-25,12
22,rotor,16,4.995816095975,8.6646701933433004e-25,10
22,round_only,16,5.005810373037,7.7555892814607627e-25,10
23,static,16,4.953239562157,1.3893800458921984e-24,10
23,position_only,16,4.999076355637,8.3569742004027099e-25,10
23,rotor,16,4.998113886243,8.4466553882882963e-25,9
23,round_only,16,5.001338700813,8.1499045289759081e-25,12
24,static,16,4.840635157345,4.843707543795362e-24,10
24,position_only,16,4.911513315191,2.2069611511192953e-24,11
24,rotor,16,4.954297898051,1.373167777207269e-24,9
24,round_only,16,4.953147386938,1.3908010740323838e-24,10
25,static,16,4.974695134746,1.0951679419378316e-24,10
25,position_only,16,4.978042161497,1.0552608722710727e-24,12
25,rotor,16,5.007972604866,7.5718230395065143e-25,11
25,round_only,16,5.006247772663,7.7180586635244744e-25,12
26,static,16,4.967517079153,1.1859153303429716e-24,10
26,position_only,16,4.901170404868,2.4752046280655908e-24,9
26,rotor,16,4.950990502168,1.4244709917587577e-24,9
26,round_only,16,4.961456744195,1.268361832938015e-24,11
27,static,16,4.991838342646,9.0554660299203523e-25,10
27,position_only,16,4.939400495551,1.6198568764927221e-24,11
27,rotor,16,4.995736444385,8.6723276362463634e-25,11
27,round_only,16,5.000431285248,8.232335667198793e-25,10
28,static,16,4.953376632999,1.3872695645149188e-24,12
28,position_only,16,4.935163586157,1.6977886773916705e-24,10
28,rotor,16,4.940346917033,1.6029435333209849e-24,10
28,round_only,16,4.950477711791,1.4325950761749926e-24,11
29,static,16,4.930476864730,1.7883689980300109e-24,9
29,position_only,16,4.984915279538,9.7781253471333426e-25,10
29,rotor,16,4.949552765187,1.4473662482559598e-24,10
29,round_only,16,4.953851836657,1.379977639821509e-24,11
30,static,16,4.919283624443,2.0247394737321557e-24,10
30,position_only,16,4.971425855029,1.1356045989929178e-24,10
30,rotor,16,4.991835493041,9.0557522154719537e-25,9
30,round_only,16,4.995051612203,8.7384450055165102e-25,10
31,static,16,4.964461882057,1.2267864732314127e-24,12
31,position_only,16,4.895976716842,2.6219620564233735e-24,11
31,rotor,16,4.997436582017,8.5103417057568529e-25,11
31,round_only,16,4.992276139156,9.0116054214577683e-25,11
32,static,16,4.933715532681,1.7252743015896158e-24,9
32,position_only,16,4.935305379914,1.6951209296657164e-24,9
32,rotor,16,4.949686111024,1.445227388761522e-24,9
32,round_only,16,4.954264295438,1.3736796040086856e-24,10
33,static,16,5.001020233881,8.1787401612897388e-25,9
33,position_only,16,4.920486589003,1.9979062025317489e-24,10
33,rotor,16,5.009514110642,7.4434765399670816e-25,10
33,round_only,16,4.982655740667,1.0026252182169778e-24,11
34,static,16,4.953700358099,1.382297882998577e-24,10
