context_index,variant,mean_one_step_retention_probability,neglog2_mean_one_step_retention,distinct_sbox_input_differences_over_16_rounds
139,rotor,0.031768798828125,4.976245646701,189
139,round_only,0.031768798828125,4.976245646701,189
140,static,0.0325927734375,4.939304068312,99
140,position_only,0.0323486328125,4.950151450549,98
140,rotor,0.0315093994140625,4.988073933693,194
140,round_only,0.0315093994140625,4.988073933693,194
141,static,0.03131103515625,4.997184984393,99
141,position_only,0.0323486328125,4.950151450549,94
141,rotor,0.031463623046875,4.990171382632,197
141,round_only,0.031463623046875,4.990171382632,197
142,static,0.02996826171875,5.060420785685,101
142,position_only,0.0318603515625,4.972094003430,103
142,rotor,0.03118896484375,5.002820519062,196
142,round_only,0.03118896484375,5.002820519062,196
143,static,0.03326416015625,4.909887580336,100
143,position_only,0.03350830078125,4.899337660995,97
143,rotor,0.032958984375,4.923184402949,200
143,round_only,0.032958984375,4.923184402949,200
144,static,0.03118896484375,5.002820519062,101
144,position_only,0.0301513671875,5.051632768415,94
144,rotor,0.031219482421875,5.001409570255,203
144,round_only,0.031219482421875,5.001409570255,203
145,static,0.03338623046875,4.904602977207,94
145,position_only,0.03070068359375,5.025585410194,94
145,rotor,0.0319671630859375,4.967265471413,195
145,round_only,0.0319671630859375,4.967265471413,195
146,static,0.0323486328125,4.950151450549,96
146,position_only,0.03082275390625,5.019860422361,97
146,rotor,0.0316619873046875,4.981104378878,198
146,round_only,0.0316619873046875,4.981104378878,198
147,static,0.0335693359375,4.896712191588,101
147,position_only,0.03228759765625,4.952876087886,101
147,rotor,0.03228759765625,4.952876087886,197
147,round_only,0.03228759765625,4.952876087886,197
148,static,0.03143310546875,4.991571377929,96
148,position_only,0.03131103515625,4.997184984393,101
148,rotor,0.0319061279296875,4.970022653410,202
148,round_only,0.0319061279296875,4.970022653410,202
149,static,0.0318603515625,4.972094003430,97
149,position_only,0.03125,5.000000000000,96
149,rotor,0.0322723388671875,4.953558051993,197
149,round_only,0.0322723388671875,4.953558051993,197
150,static,0.03094482421875,5.014158062997,96
150,position_only,0.03131103515625,4.997184984393,106
150,rotor,0.0308380126953125,5.019146393620,193
150,round_only,0.0308380126953125,5.019146393620,193
151,static,0.03033447265625,5.042897958438,98
151,position_only,0.03076171875,5.022720076500,102
151,rotor,0.0313262939453125,4.996482087891,194
